MONTH,BTC_NEWS_SEARCH
2014-09,6
2014-10,5
2014-11,4
2014-12,5
2015-01,7
2015-02,3
2015-03,4
2015-04,4
2015-05,3
2015-06,5
2015-07,4
2015-08,3
2015-09,4
2015-10,4
2015-11,4
2015-12,6
2016-01,5
2016-02,5
2016-03,6
2016-04,2
2016-05,10
2016-06,6
2016-07,6
2016-08,7
2016-09,5
2016-10,5
2016-11,7
2016-12,7
2017-01,10
2017-02,9
2017-03,11
2017-04,6
2017-05,16
2017-06,16
2017-07,14
2017-08,21
2017-09,21
2017-10,18
2017-11,44
2017-12,100
2018-01,53
2018-02,41
2018-03,24
2018-04,18
2018-05,17
2018-06,16
2018-07,17
2018-08,18
2018-09,12
2018-10,11
2018-11,18
2018-12,15
2019-01,10
2019-02,10
2019-03,12
2019-04,16
2019-05,19
2019-06,24
2019-07,18
2019-08,15
2019-09,13
2019-10,11
2019-11,9
2019-12,10
2020-01,12
2020-02,12
2020-03,8
2020-04,9
2020-05,15
2020-06,7
2020-07,9
2020-08,9
2020-09,7
2020-10,8
2020-11,14
2020-12,21
2021-01,31
2021-02,37
2021-03,34
2021-04,28
2021-05,34
2021-06,27
2021-07,18
2021-08,14
2021-09,10
2021-10,20
2021-11,18
2021-12,18
2022-01,22
2022-02,17
2022-03,12
2022-04,11
2022-05,16
2022-06,18
2022-07,13